0.0004400000	88.9115074136
0.0014400000	88.9092500598
0.0024400000	88.9163182471
0.0034400000	88.9321365820
0.0044400000	88.9403410599
0.0054400000	88.9431938155
0.0064400000	88.9506705121
0.0074400000	88.9499305845
0.0084400000	88.9340398515
0.0094400000	88.9294007731
0.0104400000	88.9378530604
0.0114400000	88.9460147675
0.0124400000	88.9471115182
0.0134400000	88.9516438346
0.0144400000	88.9563662762
0.0154400000	88.9423653968
0.0164400000	88.9237781211
0.0174400000	88.9159092052
0.0184400000	88.9156407318
0.0194400000	88.9137488864
0.0204400000	88.9159893222
0.0214400000	88.9259582527
0.0224400000	88.9322672980
0.0234400000	88.9311001977
0.0244400000	88.9285761323
0.0254400000	88.9323932746
0.0264400000	88.9228213648
0.0274400000	88.9153582284
0.0284400000	88.9232272599
0.0294400000	88.9238242537
0.0304400000	88.9347215536
0.0314400000	88.9495166516
0.0324400000	88.9480703402
0.0334400000	88.9394773981
0.0344400000	88.9423030035
0.0354400000	88.9275119666
0.0364400000	88.9237406389
0.0374400000	88.9319760770
0.0384400000	88.9369744234
0.0394400000	88.9392131611
0.0404400000	88.9453616182
0.0414400000	88.9375620473
0.0424400000	88.9329739818
0.0434400000	88.9190738909
0.0444400000	88.9147425542
0.0454400000	88.9169596433
0.0464400000	88.9236412636
0.0474400000	88.9220869416
0.0484400000	88.9413707074
0.0494400000	88.9397432438
0.0504400000	88.9332494785
0.0514400000	88.9326418900
0.0524400000	88.9350079044
0.0534400000	88.9295523531
0.0544400000	88.9340536038
0.0554400000	88.9331637839
0.0564400000	88.9289901190
0.0574400000	88.9353167604
0.0584400000	88.9357286458
0.0594400000	88.9332357337
0.0604400000	88.9405541378
0.0614400000	88.9497592575
0.0624400000	88.9458537759
0.0634400000	88.9419753036
0.0644400000	88.9456409986
0.0654400000	88.9369048375
0.0664400000	88.9262799504
0.0674400000	88.9245732916
0.0684400000	88.9326431241
0.0694400000	88.9264797992
0.0704400000	88.9279701457
0.0714400000	88.9343120103
0.0724400000	88.9365300335
0.0734400000	88.9359311248
0.0744400000	88.9466681499
0.0754400000	88.9481508595
0.0764400000	88.9462754138
0.0774400000	88.9480989332
0.0784400000	88.9358844450
0.0794400000	88.9260838685
0.0804400000	88.9261052609
0.0814400000	88.9269133550
0.0824400000	88.9284364406
0.0834400000	88.9408930025
0.0844400000	88.9375634133
0.0854400000	88.9350229912
0.0864400000	88.9463226432
0.0874400000	88.9404616879
0.0884400000	88.9296799246
0.0894400000	88.9317276735
0.0904400000	88.9345494115
0.0914400000	88.9186199029
0.0924400000	88.9131099005
0.0934400000	88.9237006830
0.0944400000	88.9291463545
0.0954400000	88.9302469648
0.0964400000	88.9349957460
0.0974400000	88.9402644870
0.0984400000	88.9382245215
0.0994400000	88.9301076360
0.1004400000	88.9146382260
0.1014400000	88.9101409807
0.1024400000	88.9136055867
0.1034400000	88.9144727843
0.1044400000	88.9263870655
0.1054400000	88.9353656443
0.1064400000	88.9393973802
0.1074400000	88.9451959662
0.1084400000	88.9444078979
0.1094400000	88.9343362547
0.1104400000	88.9321222307
0.1114400000	88.9268368888
0.1124400000	88.9278512050
0.1134400000	88.9294835161
0.1144400000	88.9354233213
0.1154400000	88.9471217756
0.1164400000	88.9548647348
0.1174400000	88.9501539949
0.1184400000	88.9427662794
0.1194400000	88.9413830305
0.1204400000	88.9352089633
0.1214400000	88.9374658796
0.1224400000	88.9293283104
0.1234400000	88.9290653239
0.1244400000	88.9334224754
0.1254400000	88.9355398040
0.1264400000	88.9266769720
